STATE_PROVINCE,DESTZIP_POSTA_ CODE,SERVICE_DAYS,ZONE
NY,501,1,2
NY,544,1,2
MA,1001,1,3
MA,1002,1,3
MA,1003,1,3
MA,1004,1,3
MA,1005,1,3
MA,1007,1,3
MA,1008,1,3
MA,1009,1,3
MA,1010,1,3
MA,1011,1,3
MA,1012,1,3
MA,1013,1,3
MA,1014,1,3
MA,1020,1,3
MA,1021,1,3
MA,1022,1,3
MA,1026,1,3
MA,1027,1,3
MA,1028,1,3
MA,1029,1,3
MA,1030,1,3
MA,1031,1,3
MA,1032,1,3
MA,1033,1,3
MA,1034,1,3
MA,1035,1,3
MA,1036,1,3
MA,1037,1,3
MA,1038,1,3
MA,1039,1,3
MA,1040,1,3
MA,1041,1,3
MA,1050,1,3
MA,1053,1,3
MA,1054,1,3
MA,1056,1,3
MA,1057,1,3
MA,1059,1,3
MA,1060,1,3
MA,1061,1,3
MA,1062,1,3
MA,1063,1,3
MA,1066,1,3
MA,1068,1,3
MA,1069,1,3
MA,1070,1,3
MA,1071,1,3
MA,1072,1,3
MA,1073,1,3
MA,1074,1,3
MA,1075,1,3
MA,1077,1,3
MA,1079,1,3
MA,1080,1,3
MA,1081,1,3
MA,1082,1,3
MA,1083,1,3
MA,1084,1,3
MA,1085,1,3
MA,1086,1,3
MA,1088,1,3
MA,1089,1,3
MA,1090,1,3
MA,1092,1,3
MA,1093,1,3
MA,1094,1,3
MA,1095,1,3
MA,1096,1,3
MA,1097,1,3
MA,1098,1,3
MA,1101,1,3
MA,1102,1,3
MA,1103,1,3
MA,1104,1,3
MA,1105,1,3
MA,1106,1,3
MA,1107,1,3
MA,1108,1,3
MA,1109,1,3
MA,1111,1,3
MA,1115,1,3
MA,1116,1,3
MA,1118,1,3
MA,1119,1,3
MA,1128,1,3
MA,1129,1,3
MA,1138,1,3
MA,1139,1,3
MA,1144,1,3
MA,1151,1,3
MA,1152,1,3
MA,1199,1,3
MA,1201,1,3
MA,1202,1,3
MA,1203,1,3
MA,1220,1,3
MA,1222,1,3
MA,1223,1,3
MA,1224,1,3
MA,1225,1,3
MA,1226,1,3
MA,1227,1,3
MA,1229,1,3
MA,1230,1,3
MA,1235,1,3
MA,1236,1,3
MA,1237,1,3
MA,1238,1,3
MA,1240,1,3
MA,1242,1,3
MA,1243,1,3
MA,1244,1,3
MA,1245,1,3
MA,1247,1,3
MA,1252,1,3
MA,1253,1,3
MA,1254,1,3
MA,1255,1,3
MA,1256,1,3
MA,1257,1,3
MA,1258,1,3
MA,1259,1,3
MA,1260,1,3
MA,1262,1,3
MA,1263,1,3
MA,1264,1,3
MA,1266,1,3
MA,1267,1,3
MA,1270,1,3
MA,1301,2,3
MA,1302,2,3
MA,1330,2,3
MA,1331,2,3
MA,1337,2,3
MA,1338,2,3
MA,1339,2,3
MA,1340,2,3
MA,1341,2,3
MA,1342,2,3
MA,1343,2,3
MA,1344,2,3
MA,1346,2,3
MA,1347,2,3
MA,1349,2,3
MA,1350,2,3
MA,1351,2,3
MA,1354,2,3
MA,1355,1,3
MA,1360,2,3
MA,1364,2,3
MA,1366,1,3
MA,1367,2,3
MA,1368,2,3
MA,1370,2,3
MA,1373,1,3
MA,1375,1,3
MA,1376,2,3
MA,1378,2,3
MA,1379,2,3
MA,1380,2,3
MA,1420,2,3
MA,1430,2,3
MA,1431,2,3
MA,1432,2,3
MA,1434,2,3
MA,1436,2,3
MA,1438,2,3
MA,1440,2,3
MA,1441,2,3
MA,1450,2,3
MA,1451,2,3
MA,1452,2,3
MA,1453,2,3
MA,1460,2,3
MA,1462,2,3
MA,1463,2,3
MA,1464,2,3
MA,1467,2,3
MA,1468,2,3
MA,1469,2,3
MA,1470,2,3
MA,1471,2,3
MA,1472,2,3
MA,1473,2,3
MA,1474,2,3
MA,1475,2,3
MA,1477,2,3
MA,1501,2,3
MA,1503,2,3
MA,1504,2,3
MA,1505,2,3
MA,1506,2,3
MA,1507,2,3
MA,1508,2,3
MA,1509,2,3
MA,1510,2,3
MA,1515,2,3
MA,1516,2,3
MA,1517,2,3
MA,1518,2,3
MA,1519,2,3
MA,1520,2,3
MA,1521,2,3
MA,1522,2,3
MA,1523,2,3
MA,1524,2,3
MA,1525,2,3
MA,1526,2,3
MA,1527,2,3
MA,1529,2,3
MA,1531,1,3
MA,1532,2,3
MA,1534,2,3
MA,1535,2,3
MA,1536,2,3
MA,1537,2,3
MA,1538,2,3
MA,1540,2,3
MA,1541,2,3
MA,1542,2,3
MA,1543,2,3
MA,1545,2,3
MA,1546,2,3
MA,1550,2,3
MA,1560,2,3
MA,1561,2,3
MA,1562,2,3
MA,1564,2,3
MA,1566,2,3
MA,1568,2,3
MA,1569,2,3
MA,1570,2,3
MA,1571,2,3
MA,1581,2,3
MA,1583,2,3
MA,1585,1,3
MA,1586,2,3
MA,1588,2,3
MA,1590,2,3
MA,1601,2,3
MA,1602,2,3
MA,1603,2,3
MA,1604,2,3
MA,1605,2,3
