Country,Region/State,Zip/Postal Code,Order Subtotal (and above),Shipping Price
US,NY,501,1,13
US,NY,544,1,13
US,MA,1001,1,14
US,MA,1002,1,14
US,MA,1003,1,14
US,MA,1004,1,14
US,MA,1005,1,14
US,MA,1007,1,14
US,MA,1008,1,14
US,MA,1009,1,14
US,MA,1010,1,14
US,MA,1011,1,14
US,MA,1012,1,14
US,MA,1013,1,14
US,MA,1014,1,14
US,MA,1020,1,14
US,MA,1021,1,14
US,MA,1022,1,14
US,MA,1026,1,14
US,MA,1027,1,14
US,MA,1028,1,14
US,MA,1029,1,14
US,MA,1030,1,14
US,MA,1031,1,14
US,MA,1032,1,14
US,MA,1033,1,14
US,MA,1034,1,14
US,MA,1035,1,14
US,MA,1036,1,14
US,MA,1037,1,14
US,MA,1038,1,14
US,MA,1039,1,14
US,MA,1040,1,14
US,MA,1041,1,14
US,MA,1050,1,14
US,MA,1053,1,14
US,MA,1054,1,14
US,MA,1056,1,14
US,MA,1057,1,14
US,MA,1059,1,14
US,MA,1060,1,14
US,MA,1061,1,14
US,MA,1062,1,14
US,MA,1063,1,14
US,MA,1066,1,14
US,MA,1068,1,14
US,MA,1069,1,14
US,MA,1070,1,14
US,MA,1071,1,14
US,MA,1072,1,14
US,MA,1073,1,14
US,MA,1074,1,14
US,MA,1075,1,14
US,MA,1077,1,14
US,MA,1079,1,14
US,MA,1080,1,14
US,MA,1081,1,14
US,MA,1082,1,14
US,MA,1083,1,14
US,MA,1084,1,14
US,MA,1085,1,14
US,MA,1086,1,14
US,MA,1088,1,14
US,MA,1089,1,14
US,MA,1090,1,14
US,MA,1092,1,14
US,MA,1093,1,14
US,MA,1094,1,14
US,MA,1095,1,14
US,MA,1096,1,14
US,MA,1097,1,14
US,MA,1098,1,14
US,MA,1101,1,14
US,MA,1102,1,14
US,MA,1103,1,14
US,MA,1104,1,14
US,MA,1105,1,14
US,MA,1106,1,14
US,MA,1107,1,14
US,MA,1108,1,14
US,MA,1109,1,14
US,MA,1111,1,14
US,MA,1115,1,14
US,MA,1116,1,14
US,MA,1118,1,14
US,MA,1119,1,14
US,MA,1128,1,14
US,MA,1129,1,14
US,MA,1138,1,14
US,MA,1139,1,14
US,MA,1144,1,14
US,MA,1151,1,14
US,MA,1152,1,14
US,MA,1199,1,14
US,MA,1201,1,14
US,MA,1202,1,14
US,MA,1203,1,14
US,MA,1220,1,14
US,MA,1222,1,14
US,MA,1223,1,14
US,MA,1224,1,14
US,MA,1225,1,14
US,MA,1226,1,14
US,MA,1227,1,14
US,MA,1229,1,14
US,MA,1230,1,14
US,MA,1235,1,14
US,MA,1236,1,14
US,MA,1237,1,14
US,MA,1238,1,14
US,MA,1240,1,14
US,MA,1242,1,14
US,MA,1243,1,14
US,MA,1244,1,14
US,MA,1245,1,14
